Season,DayNum,TeamIdA,ScoreA,TeamIdB,ScoreB,SeedA,SeedB,WinRatioA,GapAvgA,WinRatioB,GapAvgB,SeedDiff,WinRatioDiff,GapAvgDiff,ScoreDiff,WinA
2016,137,3107,61,3196,59,12,5,0.8709677419354839,18.677419354838708,0.7333333333333333,8.7,7,0.1376344086021506,9.977419354838709,2,1
2016,137,3113,74,3308,52,2,15,0.8064516129032258,9.258064516129032,0.8571428571428571,8.964285714285714,-13,-0.05069124423963134,0.2937788018433185,22,1
2016,137,3120,68,3385,57,9,8,0.6129032258064516,3.032258064516129,0.71875,6.8125,1,-0.10584677419354838,-3.780241935483871,11,1
2016,137,3124,89,3225,59,1,16,0.9705882352941176,24.61764705882353,0.7096774193548387,10.61290322580645,-15,0.2609108159392789,14.004743833017079,30,1
2016,137,3177,97,3241,67,6,11,0.7575757575757576,16.272727272727273,0.84375,15.40625,-5,-0.08617424242424243,0.8664772727272734,30,1
2016,137,3243,56,3203,51,9,8,0.6,3.933333333333333,0.8125,9.65625,1,-0.21250000000000002,-5.722916666666666,5,1
2016,137,3257,87,3146,60,3,14,0.78125,12.718749999999998,0.8888888888888888,9.11111111111111,-11,-0.10763888888888884,3.6076388888888875,27,1
2016,137,3277,74,3125,60,4,13,0.75,11.8125,0.7333333333333333,10.26666666666667,-9,0.01666666666666672,1.5458333333333307,14,1
2016,137,3280,60,3151,50,5,12,0.7878787878787878,15.93939393939394,0.7741935483870968,5.32258064516129,-7,0.013685239491691092,10.61681329423265,10,1
2016,137,3326,88,3138,69,3,14,0.7741935483870968,12.258064516129032,0.6060606060606061,1.0606060606060606,-11,0.16813294232649068,11.197458455522971,19,1
2016,137,3333,73,3407,31,2,15,0.875,15.5,0.6,3.033333333333333,-13,0.275,12.466666666666667,42,1
2016,137,3376,77,3239,41,1,16,0.96875,17.90625,0.6666666666666666,10.0,-15,0.30208333333333337,7.90625,36,1
2016,137,3382,65,3329,54,10,7,0.7666666666666667,7.966666666666667,0.7,7.6,3,0.06666666666666676,0.36666666666666714,11,1
2016,137,3393,73,3119,56,4,13,0.78125,13.0,0.9333333333333333,20.066666666666666,-9,-0.15208333333333335,-7.066666666666666,17,1
2016,137,3397,59,3453,53,7,10,0.59375,7.0625,0.875,14.625,-3,-0.28125,-7.5625,6,1
2016,137,3452,74,3343,65,6,11,0.7272727272727273,12.545454545454545,0.8214285714285714,18.25,-5,-0.0941558441558441,-5.704545454545455,9,1
2016,138,3163,101,3352,49,1,16,1.0,39.6875,0.6129032258064516,3.806451612903226,-15,0.3870967741935484,35.881048387096776,52,1
2016,138,3182,97,3371,76,9,8,0.8387096774193549,10.548387096774194,0.7419354838709677,7.354838709677419,1,0.09677419354838712,3.193548387096775,21,1
2016,138,3199,72,3292,55,5,12,0.7666666666666667,17.066666666666666,0.75,8.8125,-7,0.01666666666666672,8.254166666666666,17,1
2016,138,3231,62,3208,58,9,8,0.6451612903225806,4.225806451612903,0.7,10.266666666666667,1,-0.05483870967741933,-6.0408602150537645,4,1
2016,138,3246,85,3421,31,3,14,0.7666666666666667,13.433333333333332,0.8,8.833333333333334,-11,-0.033333333333333326,4.599999999999998,54,1
2016,138,3268,74,3233,58,2,15,0.9090909090909091,24.03030303030303,0.6764705882352942,5.970588235294118,-13,0.2326203208556149,18.059714795008915,16,1
2016,138,3281,78,3140,69,10,7,0.7,10.5,0.8064516129032258,6.903225806451613,3,-0.1064516129032258,3.596774193548387,9,1
2016,138,3323,95,3299,61,1,16,0.96875,19.125,0.6071428571428571,4.107142857142857,-15,0.3616071428571429,15.017857142857142,34,1
2016,138,3328,61,3345,45,6,11,0.6774193548387096,8.32258064516129,0.6451612903225806,6.516129032258065,-5,0.032258064516129004,1.806451612903225,16,1
2016,138,3355,74,3274,71,12,5,0.8125,10.8125,0.75,10.4375,7,0.0625,0.375,3,1
2016,138,3378,48,3161,45,6,11,0.71875,11.40625,0.9666666666666667,15.666666666666668,-5,-0.24791666666666667,-4.260416666666668,3,1
2016,138,3390,85,3362,58,4,13,0.7741935483870968,13.67741935483871,0.6333333333333333,3.0000000000000004,-9,0.14086021505376345,10.67741935483871,27,1
2016,138,3400,86,3106,42,2,15,0.875,15.0,0.6206896551724138,4.0,-13,0.2543103448275862,11.0,44,1
2016,138,3401,74,3283,65,4,13,0.7,9.8,0.71875,7.375,-9,-0.018750000000000044,2.4250000000000007,9,1
2016,138,3417,66,3218,50,3,14,0.75,10.34375,0.6774193548387096,5.935483870967742,-11,0.07258064516129037,4.408266129032258,16,1
2016,138,3449,65,3335,53,7,10,0.6875,8.78125,0.8518518518518519,10.518518518518519,-3,-0.16435185185185186,-1.737268518518519,12,1
2016,139,3124,84,3120,52,1,9,0.9705882352941176,24.61764705882353,0.6129032258064516,3.032258064516129,-8,0.357685009487666,21.5853889943074,32,1
2016,139,3177,73,3257,72,6,3,0.7575757575757576,16.272727272727273,0.78125,12.718749999999998,3,-0.02367424242424243,3.553977272727275,1,1
2016,139,3280,74,3277,72,5,4,0.7878787878787878,15.93939393939394,0.75,11.8125,1,0.037878787878787845,4.1268939393939394,2,1
2016,139,3326,88,3452,81,3,6,0.7741935483870968,12.258064516129032,0.7272727272727273,12.545454545454545,-3,0.04692082111436946,-0.28739002932551294,7,1
2016,139,3333,69,3382,40,2,10,0.875,15.5,0.7666666666666667,7.966666666666667,-8,0.10833333333333328,7.533333333333333,29,1
2016,139,3376,73,3243,47,1,9,0.96875,17.90625,0.6,3.933333333333333,-8,0.36875,13.972916666666666,26,1
2016,139,3393,76,3107,59,4,12,0.78125,13.0,0.8709677419354839,18.677419354838708,-8,-0.08971774193548387,-5.677419354838708,17,1
2016,139,3397,75,3113,64,7,2,0.59375,7.0625,0.8064516129032258,9.258064516129032,5,-0.21270161290322576,-2.195564516129032,11,1
2016,140,3163,97,3182,51,1,9,1.0,39.6875,0.8387096774193549,10.548387096774194,-8,0.16129032258064513,29.139112903225808,46,1
2016,140,3199,74,3401,56,5,4,0.7666666666666667,17.066666666666666,0.7,9.8,1,0.06666666666666676,7.266666666666666,18,1
2016,140,3246,79,3328,58,3,6,0.7666666666666667,13.433333333333332,0.6774193548387096,8.32258064516129,-3,0.08924731182795709,5.110752688172042,21,1
2016,140,3323,87,3231,70,1,9,0.96875,19.125,0.6451612903225806,4.225806451612903,-8,0.3235887096774194,14.899193548387096,17,1
2016,140,3390,66,3355,65,4,12,0.7741935483870968,13.67741935483871,0.8125,10.8125,-8,-0.03830645161290325,2.86491935483871,1,1
2016,140,3400,73,3281,55,2,10,0.875,15.0,0.7,10.5,-8,0.17500000000000004,4.5,18,1
2016,140,3417,72,3378,67,3,6,0.75,10.34375,0.71875,11.40625,-3,0.03125,-1.0625,5,1
2016,140,3449,74,3268,65,7,2,0.6875,8.78125,0.9090909090909091,24.03030303030303,5,-0.22159090909090906,-15.249053030303031,9,1
2016,144,3390,90,3323,84,4,1,0.7741935483870968,13.67741935483871,0.96875,19.125,3,-0.19455645161290325,-5.44758064516129,6,1
2016,144,3393,80,3376,72,4,1,0.78125,13.0,0.96875,17.90625,3,-0.1875,-4.90625,8,1
2016,144,3397,78,3326,62,7,3,0.59375,7.0625,0.7741935483870968,12.258064516129032,4,-0.18044354838709675,-5.195564516129032,16,1
2016,144,3449,85,3246,72,7,3,0.6875,8.78125,0.7666666666666667,13.433333333333332,4,-0.07916666666666672,-4.652083333333332,13,1
2016,145,3124,78,3199,58,1,5,0.9705882352941176,24.61764705882353,0.7666666666666667,17.066666666666666,-4,0.20392156862745092,7.550980392156863,20,1
2016,145,3163,98,3280,38,1,5,1.0,39.6875,0.7878787878787878,15.93939393939394,-4,0.21212121212121215,23.748106060606062,60,1
2016,145,3333,83,3177,71,2,6,0.875,15.5,0.7575757575757576,16.272727272727273,-4,0.11742424242424243,-0.7727272727272734,12,1
2016,145,3400,72,3417,64,2,3,0.875,15.0,0.75,10.34375,-1,0.125,4.65625,8,1
2016,146,3393,89,3397,67,4,7,0.78125,13.0,0.59375,7.0625,-3,0.1875,5.9375,22,1
2016,146,3449,85,3390,76,7,4,0.6875,8.78125,0.7741935483870968,13.67741935483871,3,-0.08669354838709675,-4.89616935483871,9,1
2016,147,3163,86,3400,65,1,2,1.0,39.6875,0.875,15.0,-1,0.125,24.6875,21,1
2016,147,3333,60,3124,57,2,1,0.875,15.5,0.9705882352941176,24.61764705882353,1,-0.09558823529411764,-9.117647058823529,3,1
2016,153,3163,80,3333,51,1,2,1.0,39.6875,0.875,15.5,-1,0.125,24.1875,29,1
2016,153,3393,80,3449,59,4,7,0.78125,13.0,0.6875,8.78125,-3,0.09375,4.21875,21,1
2016,155,3163,82,3393,51,1,4,1.0,39.6875,0.78125,13.0,-3,0.21875,26.6875,31,1
2017,137,3113,73,3277,61,8,9,0.6129032258064516,6.161290322580645,0.65625,7.03125,-1,-0.043346774193548376,-0.869959677419355,12,1
2017,137,3166,76,3405,49,7,10,0.7666666666666667,8.066666666666666,0.75,8.28125,-3,0.01666666666666672,-0.21458333333333357,27,1
2017,137,3177,88,3320,67,7,10,0.7878787878787878,13.727272727272727,0.7419354838709677,9.387096774193548,-3,0.045943304007820096,4.340175953079179,21,1
2017,137,3199,87,3442,66,3,14,0.8064516129032258,21.806451612903224,0.8,9.8,-11,0.006451612903225712,12.006451612903223,21,1
2017,137,3246,73,3125,70,4,13,0.6774193548387096,8.193548387096774,0.8387096774193549,12.096774193548388,-9,-0.16129032258064524,-3.903225806451614,3,1
2017,137,3268,103,3137,61,3,14,0.9375,25.4375,0.84375,9.9375,-11,0.09375,15.5,42,1
2017,137,3280,110,3407,69,2,15,0.8787878787878788,19.454545454545453,0.6666666666666666,8.266666666666667,-13,0.21212121212121215,11.187878787878786,41,1
2017,137,3281,66,3378,64,6,11,0.6774193548387096,4.645161290322581,0.75,9.3125,-5,-0.07258064516129037,-4.667338709677419,2,1
2017,137,3301,62,3120,48,6,11,0.7333333333333333,12.466666666666665,0.5483870967741935,2.225806451612903,-5,0.18494623655913978,10.240860215053761,14,1
2017,137,3323,79,3352,49,1,16,0.9090909090909091,18.21212121212121,0.6774193548387096,6.645161290322581,-15,0.23167155425219943,11.566959921798631,30,1
2017,137,3326,70,3443,63,5,12,0.8125,15.5625,0.8181818181818182,13.757575757575756,-7,-0.005681818181818232,1.804924242424244,7,1
2017,137,3333,56,3253,55,2,15,0.8787878787878788,12.272727272727273,0.6875,2.46875,-13,0.19128787878787878,9.803977272727273,1,1
2017,137,3345,74,3453,62,9,8,0.6470588235294118,7.823529411764706,0.84375,18.65625,1,-0.1966911764705882,-10.832720588235293,12,1
2017,137,3376,90,3421,40,1,16,0.8709677419354839,19.258064516129032,0.5625,2.3125,-15,0.3084677419354839,16.945564516129032,50,1
2017,137,3400,78,3146,50,3,14,0.7419354838709677,12.35483870967742,0.8461538461538461,11.73076923076923,-11,-0.1042183622828784,0.62406947890819,28,1
2017,137,3452,75,3189,62,6,11,0.696969696969697,12.545454545454545,0.8125,11.21875,-5,-0.11553030303030298,1.326704545454545,13,1
2017,138,3124,119,3411,30,1,16,0.9090909090909091,32.57575757575758,0.7096774193548387,4.645161290322581,-15,0.19941348973607032,27.930596285434998,89,1
2017,138,3143,55,3261,52,9,8,0.59375,5.03125,0.6451612903225806,4.709677419354839,1,-0.05141129032258063,0.32157258064516103,3,1
2017,138,3163,116,3107,55,1,16,1.0,32.8125,0.6451612903225806,3.6451612903225805,-15,0.3548387096774194,29.16733870967742,61,1
2017,138,3181,94,3214,31,2,15,0.84375,17.71875,0.625,2.15625,-13,0.21875,15.5625,63,1
2017,138,3243,67,3179,54,7,10,0.6875,5.59375,0.8709677419354839,16.93548387096774,-3,-0.18346774193548387,-11.34173387096774,13,1
2017,138,3257,82,3151,62,4,13,0.7941176470588235,14.882352941176471,0.6774193548387096,5.645161290322581,-9,0.11669829222011385,9.237191650853891,20,1
2017,138,3274,62,3195,60,4,13,0.7419354838709677,9.645161290322578,0.75,14.4375,-9,-0.008064516129032251,-4.792338709677422,2,1
2017,138,3328,75,3211,62,6,11,0.7096774193548387,5.096774193548387,0.8125,14.5,-5,-0.10282258064516125,-9.403225806451612,13,1
2017,138,3332,71,3396,70,10,7,0.6060606060606061,6.151515151515151,0.7741935483870968,9.580645161290322,3,-0.16813294232649068,-3.4291300097751707,1,1
2017,138,3346,68,3266,65,12,5,0.8181818181818182,11.575757575757578,0.78125,9.0,7,0.03693181818181823,2.575757575757578,3,1
2017,138,3390,72,3308,64,2,15,0.8484848484848485,16.575757575757574,0.7857142857142857,7.928571428571429,-13,0.06277056277056281,8.647186147186146,8,1
2017,138,3393,85,3235,65,8,9,0.6774193548387096,12.35483870967742,0.6,5.833333333333333,-1,0.07741935483870965,6.521505376344087,20,1
2017,138,3397,66,3173,57,5,12,0.6333333333333333,8.0,0.7096774193548387,6.580645161290323,-7,-0.07634408602150544,1.419354838709677,9,1
2017,138,3401,63,3335,61,5,12,0.65625,6.90625,0.75,8.285714285714286,-7,-0.09375,-1.3794642857142865,2,1
